model,psnr,ssim,l1
Zero-fill,16.45553207397461,0.3528458178043365,0.1159506142139434
Real U-Net,5.633978605270386,0.0051743047079071,0.4814901202917099
Complex U-Net,4.523889899253845,0.0417919906321913,0.589529737830162
